,usertoken,date,preq_gender,preq_race,preq_education,preq_age,postq_economic,postq_social,postq_attention1,postq_attention2,exclude,account_index,condition_account,condition_accAlias,condition_block,condition_emotionSort,condition_showImage,count_tweets,sourceComment,credibility_choice,credibility_uncertainty,credibility_time,politicalOrientation_choice,politicalOrientation_uncertainty,politicalOrientation_time,inst_nCredibleNCertain,inst_nCredibleNCertainUncertainty,inst_credibleCertainChoice,inst_credibleCertainUncertainty
10,IOYTIc6z,9/8/20,Male,White/Caucasian/European,Undergraduate,47,Slightly liberal,Moderate,I TAKE TABLET AND CONSULT DOCTOR.THEN I GO TO INTERVIEW.,I TAKE AFTERWARDS.,0,2,opednews,C,FALSE,mixed,TRUE,6,ABOUT THEIR CHARACTERS,0.500018736,0.210874726,1.60E+12,-0.29231158,0.623038962,1.60E+12,0.052168767,0.008160934,,
11,IOYTIc6z,9/8/20,Male,White/Caucasian/European,Undergraduate,47,Slightly liberal,Moderate,I TAKE TABLET AND CONSULT DOCTOR.THEN I GO TO INTERVIEW.,I TAKE AFTERWARDS.,0,3,amlookout,B,FALSE,mixed,TRUE,5,TAKE DECISION ABOUT CURRENT SITUATION.,0.538359595,0.167741259,1.60E+12,0.68538033,0.527186814,1.60E+12,0.052168767,0.008160934,,
12,IOYTIc6z,9/8/20,Male,White/Caucasian/European,Undergraduate,47,Slightly liberal,Moderate,I TAKE TABLET AND CONSULT DOCTOR.THEN I GO TO INTERVIEW.,I TAKE AFTERWARDS.,0,4,InvestWatchBlog,D,FALSE,mixed,FALSE,5,TO TAKE DECISION ABOUT THEIR PERSONAL CHARACTERS.,0.46407418,0.36903077,1.60E+12,0.522431678,0.661379822,1.60E+12,0.052168767,0.008160934,,
13,IOYTIc6z,9/8/20,Male,White/Caucasian/European,Undergraduate,47,Slightly liberal,Moderate,I TAKE TABLET AND CONSULT DOCTOR.THEN I GO TO INTERVIEW.,I TAKE AFTERWARDS.,0,5,MotherJones,E,FALSE,mixed,TRUE,5,ABOUT CURRENT SITUATION,0.617437617,0.162948652,1.60E+12,0.440957353,0.412164237,1.60E+12,0.052168767,0.008160934,,
14,IOYTIc6z,9/8/20,Male,White/Caucasian/European,Undergraduate,47,Slightly liberal,Moderate,I TAKE TABLET AND CONSULT DOCTOR.THEN I GO TO INTERVIEW.,I TAKE AFTERWARDS.,0,6,CNNPolitics,G,FALSE,mixed,FALSE,5,TEXT TAKE MY DECISION EASY,0.61264501,0.206082118,1.60E+12,0.647039471,0.469675526,1.60E+12,0.052168767,0.008160934,,
15,x1CJJf8o,9/8/20,Male,White/Caucasian/European,Undergraduate,31,,,,,1,0,opednews,C,TRUE,happy,TRUE,33,,0.696515639,0.206082118,1.60E+12,-0.07185164,0.536772029,1.60E+12,0.505100598,0.342759212,0.743807907,0.49781695
16,x1CJJf8o,9/8/20,Male,White/Caucasian/European,Undergraduate,31,,,,,1,1,Jerusalem_Post,H,TRUE,happy,FALSE,6,,0.72287498,0.124607792,1.60E+12,0.469712997,0.373823377,1.60E+12,0.505100598,0.342759212,0.743807907,0.49781695
17,x1CJJf8o,9/8/20,Male,White/Caucasian/European,Undergraduate,31,,,,,1,2,CNNPolitics,G,TRUE,happy,FALSE,5,good,0.643796958,0.182119081,1.60E+12,0.431372138,0.364238163,1.60E+12,0.505100598,0.342759212,0.743807907,0.49781695
18,x1CJJf8o,9/8/20,Male,White/Caucasian/European,Undergraduate,31,,,,,1,3,nypost,F,TRUE,happy,TRUE,6,,0.636608047,0.263593407,1.60E+12,0.091097012,0.345067733,1.60E+12,0.505100598,0.342759212,0.743807907,0.49781695
19,x1CJJf8o,9/8/20,Male,White/Caucasian/European,Undergraduate,31,,,,,1,4,MotherJones,E,TRUE,happy,TRUE,6,,0.562322632,0.196496904,1.60E+12,0.225290019,0.335482518,1.60E+12,0.505100598,0.342759212,0.743807907,0.49781695
20,x1CJJf8o,9/8/20,Male,White/Caucasian/European,Undergraduate,31,,,,,1,5,veteranstoday,A,TRUE,happy,FALSE,6,,0.408959195,0.158156044,1.60E+12,0.129437871,0.277971229,1.60E+12,0.505100598,0.342759212,0.743807907,0.49781695
21,x1CJJf8o,9/8/20,Male,White/Caucasian/European,Undergraduate,31,,,,,1,6,InvestWatchBlog,D,TRUE,happy,TRUE,6,,0.315503351,0.148570829,1.60E+12,0.191741768,0.75723197,1.60E+12,0.505100598,0.342759212,0.743807907,0.49781695
22,x1CJJf8o,9/8/20,Male,White/Caucasian/European,Undergraduate,31,,,,,1,7,amlookout,B,TRUE,happy,FALSE,10,,0.339466388,0.162948652,1.60E+12,0.148608301,0.450505096,1.60E+12,0.505100598,0.342759212,0.743807907,0.49781695
23,SQL2Kzyy,9/8/20,Male,White/Caucasian/European,Undergraduate,25,Moderate,Moderate,i try to take tablets and make myself calm .then go to interview .because i dont want to miss a opportunity,look for the cashier or ask any counter staff to take care of it,0,0,Jerusalem_Post,H,FALSE,mixed,TRUE,5,the statements influenced me to make a decision,0.500018736,0.186911689,1.60E+12,0.460127782,0.162948652,1.60E+12,0.494899431,0.004080467,0.951911714,0.085689803
24,SQL2Kzyy,9/8/20,Male,White/Caucasian/European,Undergraduate,25,Moderate,Moderate,i try to take tablets and make myself calm .then go to interview .because i dont want to miss a opportunity,look for the cashier or ask any counter staff to take care of it,0,1,nypost,F,FALSE,mixed,FALSE,6,the statements influenced me to make a decision,0.468866788,0.091059541,1.60E+12,0.412201708,0.23963037,1.60E+12,0.494899431,0.004080467,0.951911714,0.085689803
25,SQL2Kzyy,9/8/20,Male,White/Caucasian/European,Undergraduate,25,Moderate,Moderate,i try to take tablets and make myself calm .then go to interview .because i dont want to miss a opportunity,look for the cashier or ask any counter staff to take care of it,0,2,amlookout,B,FALSE,mixed,TRUE,5,statements influenced me to make a decision,0.595870884,0.138985615,1.60E+12,0.086304405,0.5176016,1.60E+12,0.494899431,0.004080467,0.951911714,0.085689803
26,SQL2Kzyy,9/8/20,Male,White/Caucasian/European,Undergraduate,25,Moderate,Moderate,i try to take tablets and make myself calm .then go to interview .because i dont want to miss a opportunity,look for the cashier or ask any counter staff to take care of it,0,3,veteranstoday,A,FALSE,mixed,TRUE,5,the statements influenced me to make a decision,0.749234321,0.158156044,1.60E+12,0.383446064,0.709305896,1.60E+12,0.494899431,0.004080467,0.951911714,0.085689803
27,SQL2Kzyy,9/8/20,Male,White/Caucasian/European,Undergraduate,25,Moderate,Moderate,i try to take tablets and make myself calm .then go to interview .because i dont want to miss a opportunity,look for the cashier or ask any counter staff to take care of it,0,4,MotherJones,E,FALSE,mixed,FALSE,5,the tweets influenced me to make a decision,0.440111143,0.330689911,1.60E+12,-0.004755136,0.958521554,1.60E+12,0.494899431,0.004080467,0.951911714,0.085689803
28,SQL2Kzyy,9/8/20,Male,White/Caucasian/European,Undergraduate,25,Moderate,Moderate,i try to take tablets and make myself calm .then go to interview .because i dont want to miss a opportunity,look for the cashier or ask any counter staff to take care of it,0,5,InvestWatchBlog,D,FALSE,mixed,FALSE,5,the tweets influenced me to make a decision.,0.59347458,0.47926074,1.60E+12,3.75E-05,0.383408592,1.60E+12,0.494899431,0.004080467,0.951911714,0.085689803
29,SQL2Kzyy,9/8/20,Male,White/Caucasian/European,Undergraduate,25,Moderate,Moderate,i try to take tablets and make myself calm .then go to interview .because i dont want to miss a opportunity,look for the cashier or ask any counter staff to take care of it,0,6,opednews,C,FALSE,mixed,FALSE,5,the tweets influenced me to make a decision,0.495226128,0.220459941,1.60E+12,-0.014340351,0.306726874,1.60E+12,0.494899431,0.004080467,0.951911714,0.085689803
30,SQL2Kzyy,9/8/20,Male,White/Caucasian/European,Undergraduate,25,Moderate,Moderate,i try to take tablets and make myself calm .then go to interview .because i dont want to miss a opportunity,look for the cashier or ask any counter staff to take care of it,0,7,CNNPolitics,G,FALSE,mixed,TRUE,6,the tweets influenced me to make a decision.,0.509603951,0.277971229,1.60E+12,0.024000509,0.440919881,1.60E+12,0.494899431,0.004080467,0.951911714,0.085689803
31,2d5VwKFA,9/8/20,Male,White/Caucasian/European,Undergraduate,45,Very Consertavite,Very Consertavite,attending through online....,wait and pay......,0,0,InvestWatchBlog,D,FALSE,mixed,TRUE,6,trust,0.78757518,0.647002036,1.60E+12,0.857914197,0.329072399,1.60E+12,,,,
32,2d5VwKFA,9/8/20,Male,White/Caucasian/European,Undergraduate,45,Very Consertavite,Very Consertavite,attending through online....,wait and pay......,0,1,amlookout,B,FALSE,mixed,FALSE,5,honest,0.624626528,0,1.60E+12,0.378653456,0.113405065,1.60E+12,,,,
33,2d5VwKFA,9/8/20,Male,White/Caucasian/European,Undergraduate,45,Very Consertavite,Very Consertavite,attending through online....,wait and pay......,0,2,CNNPolitics,G,FALSE,mixed,TRUE,5,social,0.665363691,0.100644755,1.60E+12,0.33551999,0.420131939,1.60E+12,,,,
34,2d5VwKFA,9/8/20,Male,White/Caucasian/European,Undergraduate,45,Very Consertavite,Very Consertavite,attending through online....,wait and pay......,0,3,opednews,C,FALSE,mixed,FALSE,6,trust,0.646193262,0,1.60E+12,0.450542567,0.009585215,1.60E+12,,,,
35,2d5VwKFA,9/8/20,Male,White/Caucasian/European,Undergraduate,45,Very Consertavite,Very Consertavite,attending through online....,wait and pay......,0,4,nypost,F,FALSE,mixed,TRUE,6,,0.713289765,0.028755644,1.60E+12,0.694965545,0.084649421,1.60E+12,,,,
36,2d5VwKFA,9/8/20,Male,White/Caucasian/European,Undergraduate,45,Very Consertavite,Very Consertavite,attending through online....,wait and pay......,0,5,MotherJones,E,FALSE,mixed,FALSE,6,,0.691723032,0,1.60E+12,0.244460449,0,1.60E+12,,,,
37,2d5VwKFA,9/8/20,Male,White/Caucasian/European,Undergraduate,45,Very Consertavite,Very Consertavite,attending through online....,wait and pay......,0,6,Jerusalem_Post,H,FALSE,mixed,FALSE,5,,0.991260995,0.100644755,1.60E+12,0.287593916,0.009585215,1.60E+12,,,,
38,2d5VwKFA,9/8/20,Male,White/Caucasian/European,Undergraduate,45,Very Consertavite,Very Consertavite,attending through online....,wait and pay......,0,7,veteranstoday,A,FALSE,mixed,TRUE,5,,0.615041313,0.281955081,1.60E+12,0.474505604,0,1.60E+12,,,,
39,jmJqdxwz,9/8/20,Male,White/Caucasian/European,Undergraduate,30,Slightly Conservative,Slightly Conservative,just take some tablets to cure for some time to attend the interview,just leave it and make this product to buy another day,0,0,opednews,C,FALSE,mixed,FALSE,5,its little tough,0.631795865,0.282762048,1.60E+12,0.196495578,0.479257708,1.60E+12,0.486536723,0.522210222,0.890433692,0.564052303
40,jmJqdxwz,9/8/20,Male,White/Caucasian/European,Undergraduate,30,Slightly Conservative,Slightly Conservative,just take some tablets to cure for some time to attend the interview,just leave it and make this product to buy another day,0,1,veteranstoday,A,FALSE,mixed,TRUE,5,lots of image,0.619814423,0.263591813,1.60E+12,0.110229191,0.4600874,1.60E+12,0.486536723,0.522210222,0.890433692,0.564052303
41,jmJqdxwz,9/8/20,Male,White/Caucasian/European,Undergraduate,30,Slightly Conservative,Slightly Conservative,just take some tablets to cure for some time to attend the interview,just leave it and make this product to buy another day,0,2,Jerusalem_Post,H,FALSE,mixed,TRUE,5,it about images,0.595851501,0.277969544,1.60E+12,0.052718266,0.527183479,1.60E+12,0.486536723,0.522210222,0.890433692,0.564052303
42,jmJqdxwz,9/8/20,Male,White/Caucasian/European,Undergraduate,30,Slightly Conservative,Slightly Conservative,just take some tablets to cure for some time to attend the interview,just leave it and make this product to buy another day,0,3,CNNPolitics,G,FALSE,mixed,TRUE,5,its all about politics ,0.521566556,0.263591813,1.60E+12,0.115021768,0.508013317,1.60E+12,0.486536723,0.522210222,0.890433692,0.564052303
43,jmJqdxwz,9/8/20,Male,White/Caucasian/European,Undergraduate,30,Slightly Conservative,Slightly Conservative,just take some tablets to cure for some time to attend the interview,just leave it and make this product to buy another day,0,4,MotherJones,E,FALSE,mixed,FALSE,5,images of president,0.552718307,0.244421504,1.60E+12,0.071888574,0.594279558,1.60E+12,0.486536723,0.522210222,0.890433692,0.564052303
44,jmJqdxwz,9/8/20,Male,White/Caucasian/European,Undergraduate,30,Slightly Conservative,Slightly Conservative,just take some tablets to cure for some time to attend the interview,just leave it and make this product to buy another day,0,5,InvestWatchBlog,D,FALSE,mixed,FALSE,5,all about peoples ,0.667740193,0.201288237,1.60E+12,-0.091059046,0.670960937,1.60E+12,0.486536723,0.522210222,0.890433692,0.564052303
45,jmJqdxwz,9/8/20,Male,White/Caucasian/European,Undergraduate,30,Slightly Conservative,Slightly Conservative,just take some tablets to cure for some time to attend the interview,just leave it and make this product to buy another day,0,6,amlookout,B,FALSE,mixed,TRUE,5,full of smilling,0.701288233,0.234836277,1.60E+12,0.234836268,0.498428163,1.60E+12,0.486536723,0.522210222,0.890433692,0.564052303
46,jmJqdxwz,9/8/20,Male,White/Caucasian/European,Undergraduate,30,Slightly Conservative,Slightly Conservative,just take some tablets to cure for some time to attend the interview,just leave it and make this product to buy another day,0,7,nypost,F,FALSE,mixed,FALSE,5,this about allergeys,0.576681192,0.191703156,1.60E+12,0.105436614,0.62303502,1.60E+12,0.486536723,0.522210222,0.890433692,0.564052303
47,wRSBMkyK,9/8/20,Female,White/Caucasian/European,Undergraduate,43,Slightly Conservative,Moderate,take leave for work,purchase with only needed items only,0,0,CNNPolitics,G,TRUE,angry,FALSE,8,,0.881031024,0.720478676,1.60E+12,0.517639071,0.412164237,1.60E+12,0.829497709,0.004080467,,
48,wRSBMkyK,9/8/20,Female,White/Caucasian/European,Undergraduate,43,Slightly Conservative,Moderate,take leave for work,purchase with only needed items only,0,1,opednews,C,TRUE,angry,TRUE,6,nothing,0.564718936,0.23963037,1.60E+12,0.09588962,0.335482518,1.60E+12,0.829497709,0.004080467,,
49,wRSBMkyK,9/8/20,Female,White/Caucasian/European,Undergraduate,43,Slightly Conservative,Moderate,take leave for work,purchase with only needed items only,0,2,nypost,F,TRUE,angry,FALSE,6,nothing,0.564718936,0.138985615,1.60E+12,-0.07185164,0.527186814,1.60E+12,0.829497709,0.004080467,,
50,wRSBMkyK,9/8/20,Female,White/Caucasian/European,Undergraduate,43,Slightly Conservative,Moderate,take leave for work,purchase with only needed items only,0,3,amlookout,B,TRUE,angry,TRUE,6,,0.595870884,0.36903077,1.60E+12,0.028793116,0.47926074,1.60E+12,0.829497709,0.004080467,,
51,wRSBMkyK,9/8/20,Female,White/Caucasian/European,Undergraduate,43,Slightly Conservative,Moderate,take leave for work,purchase with only needed items only,0,4,veteranstoday,A,TRUE,angry,FALSE,6,,0.59347458,0.412164237,1.60E+12,-0.134155536,0.373823377,1.60E+12,0.829497709,0.004080467,,
52,wRSBMkyK,9/8/20,Female,White/Caucasian/European,Undergraduate,43,Slightly Conservative,Moderate,take leave for work,purchase with only needed items only,0,5,InvestWatchBlog,D,TRUE,angry,FALSE,6,,0.691723032,0.416956844,1.60E+12,0.043170938,0.488845955,1.60E+12,0.829497709,0.004080467,,
53,wRSBMkyK,9/8/20,Female,White/Caucasian/European,Undergraduate,43,Slightly Conservative,Moderate,take leave for work,purchase with only needed items only,0,6,MotherJones,E,TRUE,angry,TRUE,6,,0.648589565,0.36903077,1.60E+12,0.024000509,0.690135466,1.60E+12,0.829497709,0.004080467,,
54,wRSBMkyK,9/8/20,Female,White/Caucasian/European,Undergraduate,43,Slightly Conservative,Moderate,take leave for work,purchase with only needed items only,0,7,Jerusalem_Post,H,TRUE,angry,TRUE,8,,0.63900435,0.594283318,1.60E+12,-0.038303388,0.488845955,1.60E+12,0.829497709,0.004080467,,
55,VapO1QHP,9/8/20,Female,White/Caucasian/European,Masters,32,Slightly Conservative,Moderate,"In truth, the best thing to do in this situation is to call in sick. If you have a minor cold or are getting past the worst of your illness, then going to the interview is a viable option. However, calling in sick to reschedule is the way to go, if possible.
","Make sure all words are spelled correctly.
Try different keywords.
Try more general keywords.
Try fewer keywords.",0,0,nypost,F,FALSE,mixed,FALSE,31,VERY CREDIT,0.121402733,0.473659395,1.60E+12,-0.613416313,0,1.60E+12,,,,
56,VapO1QHP,9/8/20,Female,White/Caucasian/European,Masters,32,Slightly Conservative,Moderate,"In truth, the best thing to do in this situation is to call in sick. If you have a minor cold or are getting past the worst of your illness, then going to the interview is a viable option. However, calling in sick to reschedule is the way to go, if possible.
","Make sure all words are spelled correctly.
Try different keywords.
Try more general keywords.
Try fewer keywords.",0,1,Jerusalem_Post,H,FALSE,mixed,TRUE,7,RIGHT OF ONE,0.665363691,0.162948652,1.60E+12,0.738099012,0.105437363,1.60E+12,,,,
57,VapO1QHP,9/8/20,Female,White/Caucasian/European,Masters,32,Slightly Conservative,Moderate,"In truth, the best thing to do in this situation is to call in sick. If you have a minor cold or are getting past the worst of your illness, then going to the interview is a viable option. However, calling in sick to reschedule is the way to go, if possible.
","Make sure all words are spelled correctly.
Try different keywords.
Try more general keywords.
Try fewer keywords.",0,2,opednews,C,FALSE,mixed,FALSE,7,VERY GOOD,0.576700454,0.177326474,1.60E+12,0.215704805,0.623038962,1.60E+12,,,,
58,VapO1QHP,9/8/20,Female,White/Caucasian/European,Masters,32,Slightly Conservative,Moderate,"In truth, the best thing to do in this situation is to call in sick. If you have a minor cold or are getting past the worst of your illness, then going to the interview is a viable option. However, calling in sick to reschedule is the way to go, if possible.
","Make sure all words are spelled correctly.
Try different keywords.
Try more general keywords.
Try fewer keywords.",0,3,veteranstoday,A,FALSE,mixed,TRUE,7,INTERESTING AND IMPROVEMENT,0.670156299,0.254008192,1.60E+12,0.762062049,0.354652948,1.60E+12,,,,
59,VapO1QHP,9/8/20,Female,White/Caucasian/European,Masters,32,Slightly Conservative,Moderate,"In truth, the best thing to do in this situation is to call in sick. If you have a minor cold or are getting past the worst of your illness, then going to the interview is a viable option. However, calling in sick to reschedule is the way to go, if possible.
","Make sure all words are spelled correctly.
Try different keywords.
Try more general keywords.
Try fewer keywords.",0,4,amlookout,B,FALSE,mixed,FALSE,7,NICE ONE,0.682137817,0.210874726,1.60E+12,0.766854656,0.23963037,1.60E+12,,,,
60,VapO1QHP,9/8/20,Female,White/Caucasian/European,Masters,32,Slightly Conservative,Moderate,"In truth, the best thing to do in this situation is to call in sick. If you have a minor cold or are getting past the worst of your illness, then going to the interview is a viable option. However, calling in sick to reschedule is the way to go, if possible.
","Make sure all words are spelled correctly.
Try different keywords.
Try more general keywords.
Try fewer keywords.",0,5,CNNPolitics,G,FALSE,mixed,FALSE,8,INTERESTING ONE,0.684534121,0.215667333,1.60E+12,0.709343367,0.153363437,1.60E+12,,,,
61,VapO1QHP,9/8/20,Female,White/Caucasian/European,Masters,32,Slightly Conservative,Moderate,"In truth, the best thing to do in this situation is to call in sick. If you have a minor cold or are getting past the worst of your illness, then going to the interview is a viable option. However, calling in sick to reschedule is the way to go, if possible.
","Make sure all words are spelled correctly.
Try different keywords.
Try more general keywords.
Try fewer keywords.",0,6,MotherJones,E,FALSE,mixed,TRUE,7,GOOD,0.581493062,0.254008192,1.60E+12,0.623076434,0.162948652,1.60E+12,,,,
62,VapO1QHP,9/8/20,Female,White/Caucasian/European,Masters,32,Slightly Conservative,Moderate,"In truth, the best thing to do in this situation is to call in sick. If you have a minor cold or are getting past the worst of your illness, then going to the interview is a viable option. However, calling in sick to reschedule is the way to go, if possible.
","Make sure all words are spelled correctly.
Try different keywords.
Try more general keywords.
Try fewer keywords.",0,7,InvestWatchBlog,D,FALSE,mixed,TRUE,5,BETTER ONE,0.76840475,0.119815185,1.60E+12,0.81478073,0.047926074,1.60E+12,,,,
63,9jqs6Q4Y,9/8/20,Male,African American/Black,Masters,35,Moderate,Slightly Conservative,i will behaved that situation,i would like this items so definetly i will buy,1,0,amlookout,B,FALSE,mixed,FALSE,8,good political information tweets,0.780386269,0.052718681,1.60E+12,0.508053856,0.124607792,1.60E+12,,,,
64,9jqs6Q4Y,9/8/20,Male,African American/Black,Masters,35,Moderate,Slightly Conservative,i will behaved that situation,i would like this items so definetly i will buy,1,1,CNNPolitics,G,FALSE,mixed,FALSE,5,Republican information tweets,0.665363691,0.316312089,1.60E+12,0.239667842,0.680550251,1.60E+12,,,,
65,9jqs6Q4Y,9/8/20,Male,African American/Black,Masters,35,Moderate,Slightly Conservative,i will behaved that situation,i would like this items so definetly i will buy,1,2,InvestWatchBlog,D,FALSE,mixed,TRUE,5,photo evalotion studys,0.715686069,0.105437363,1.60E+12,0.948973737,1.776439871,1.60E+12,,,,
66,9jqs6Q4Y,9/8/20,Male,African American/Black,Masters,35,Moderate,Slightly Conservative,i will behaved that situation,i would like this items so definetly i will buy,1,3,MotherJones,E,FALSE,mixed,TRUE,6,reponsibility tweets,0.567115239,0.263593407,1.60E+12,0.105474834,0.421749451,1.60E+12,,,,
67,9jqs6Q4Y,9/8/20,Male,African American/Black,Masters,35,Moderate,Slightly Conservative,i will behaved that situation,i would like this items so definetly i will buy,1,4,veteranstoday,A,FALSE,mixed,FALSE,5,good tweets,0.552737417,0.196496904,1.60E+12,0.762062049,0.364238163,1.60E+12,,,,
68,9jqs6Q4Y,9/8/20,Male,African American/Black,Masters,35,Moderate,Slightly Conservative,i will behaved that situation,i would like this items so definetly i will buy,1,5,opednews,C,FALSE,mixed,TRUE,5,global famous tweets,0.660571084,0.196496904,1.60E+12,0.718928582,0.488845955,1.60E+12,,,,
69,9jqs6Q4Y,9/8/20,Male,African American/Black,Masters,35,Moderate,Slightly Conservative,i will behaved that situation,i would like this items so definetly i will buy,1,6,nypost,F,FALSE,mixed,FALSE,5,nice tweets,0.816330824,0.124607792,1.60E+12,0.781232478,0.277971229,1.60E+12,,,,
70,9jqs6Q4Y,9/8/20,Male,African American/Black,Masters,35,Moderate,Slightly Conservative,i will behaved that situation,i would like this items so definetly i will buy,1,7,Jerusalem_Post,H,FALSE,mixed,TRUE,5,legends explosed tweets,0.840293861,0.057511289,1.60E+12,0.158193516,0.230045155,1.60E+12,,,,
71,H9zz0uon,9/8/20,Female,White/Caucasian/European,Undergraduate,39,Slightly Conservative,Slightly Conservative,Most people have mild illness and are able to recover at home.,"Unless you stop these things from happening, they will start a chain of events that become unmanageable.",0,0,veteranstoday,A,FALSE,mixed,TRUE,8,Overall good,0.473659395,0.416956881,1.60E+12,0.105474834,0.670965036,1.60E+12,0.543865033,0.514138817,0.433692429,0.338678745
72,H9zz0uon,9/8/20,Female,White/Caucasian/European,Undergraduate,39,Slightly Conservative,Slightly Conservative,Most people have mild illness and are able to recover at home.,"Unless you stop these things from happening, they will start a chain of events that become unmanageable.",0,1,Jerusalem_Post,H,FALSE,mixed,FALSE,9,Want more details,0.468866788,0.450505096,1.60E+12,0.311556953,1.303589214,1.60E+12,0.543865033,0.514138817,0.433692429,0.338678745
73,H9zz0uon,9/8/20,Female,White/Caucasian/European,Undergraduate,39,Slightly Conservative,Slightly Conservative,Most people have mild illness and are able to recover at home.,"Unless you stop these things from happening, they will start a chain of events that become unmanageable.",0,2,opednews,C,FALSE,mixed,FALSE,7,Good explanation,0.476055699,0.642209392,1.60E+12,0.210912197,0.565527674,1.60E+12,0.543865033,0.514138817,0.433692429,0.338678745
74,H9zz0uon,9/8/20,Female,White/Caucasian/European,Undergraduate,39,Slightly Conservative,Slightly Conservative,Most people have mild illness and are able to recover at home.,"Unless you stop these things from happening, they will start a chain of events that become unmanageable.",0,3,MotherJones,E,FALSE,mixed,TRUE,6,Interesting tweet,0.538359595,0.479260777,1.60E+12,0.354690419,1.21732228,1.60E+12,0.543865033,0.514138817,0.433692429,0.338678745
