,usertoken,date,condition,account_index,tweet_index,familiarity,favorability,familiarity_number,favorability_number,condition_person,condition_accAlias,condition_personCluster,condition_showImage,biasChoice,biasCI,time,condition_imageIdx
47,Zi0q4lNj,10/06/20,happy,0,2,Slightly familiar,Neutral,-1,0,Theresa May,K,122,True,0.009919003980952808,0.14491137397743126,1602004892609.0,happy_img_idx
48,Zi0q4lNj,10/06/20,happy,0,3,Slightly familiar,Neutral,-1,0,Theresa May,K,122,True,0.02557029325590683,0.36011661643428167,1602004916313.0,happy_img_idx
49,Zi0q4lNj,10/06/20,happy,0,4,Slightly familiar,Neutral,-1,0,Theresa May,K,122,True,0.02557029325590683,0.14882419629616978,1602004931017.0,happy_img_idx
50,Zi0q4lNj,10/06/20,happy,1,0,Moderately familiar,Slightly Positive,1,1,Vladimir Putin,J,111,True,0.00404977050284505,0.21534217571472436,1602005146607.0,happy_img_idx
51,Zi0q4lNj,10/06/20,happy,1,1,Moderately familiar,Slightly Positive,1,1,Vladimir Putin,J,111,True,0.5909731332398536,0.44997456665492797,1602005170591.0,happy_img_idx
52,Zi0q4lNj,10/06/20,happy,1,2,Moderately familiar,Slightly Positive,1,1,Vladimir Putin,J,111,True,0.052960049487076374,0.19969088643977034,1602005186375.0,happy_img_idx
53,Zi0q4lNj,10/06/20,happy,1,3,Moderately familiar,Slightly Positive,1,1,Vladimir Putin,J,111,True,0.0392651713714916,0.20360370875850883,1602005206702.0,happy_img_idx
54,Zi0q4lNj,10/06/20,happy,1,4,Moderately familiar,Slightly Positive,1,1,Vladimir Putin,J,111,True,0.9842117762730733,0.9313886749701035,1602005224279.0,happy_img_idx
55,Zi0q4lNj,10/06/20,happy,1,5,Moderately familiar,Slightly Positive,1,1,Vladimir Putin,J,111,True,0.08621903919635367,0.3366396825218506,1602005246214.0,happy_img_idx
56,Zi0q4lNj,10/06/20,happy,1,6,Moderately familiar,Slightly Positive,1,1,Vladimir Putin,J,111,True,0.12926008470247724,0.30338069281257335,1602005267630.0,happy_img_idx
57,Zi0q4lNj,10/06/20,happy,2,0,Extremely familiar,Very negative,2,-2,Hillary Clinton,L,100,True,0.006006181662214303,0.09404468383383068,1602005426373.0,happy_img_idx
58,Zi0q4lNj,10/06/20,happy,2,1,Extremely familiar,Very negative,2,-2,Hillary Clinton,L,100,True,0.40120125078103597,0.47736432288609776,1602005471604.0,happy_img_idx
59,Zi0q4lNj,10/06/20,happy,2,2,Extremely familiar,Very negative,2,-2,Hillary Clinton,L,100,True,0.28968581469698856,0.4108463434675431,1602005489356.0,happy_img_idx
60,Zi0q4lNj,10/06/20,happy,2,3,Extremely familiar,Very negative,2,-2,Hillary Clinton,L,100,True,0.4540243520840058,0.5986618147669913,1602005533876.0,happy_img_idx
61,Zi0q4lNj,10/06/20,happy,2,4,Extremely familiar,Very negative,2,-2,Hillary Clinton,L,100,True,0.49706539759012935,0.2738975623116955,1602005565700.0,happy_img_idx
62,Zi0q4lNj,10/06/20,happy,2,5,Extremely familiar,Very negative,2,-2,Hillary Clinton,L,100,True,0.49706539759012935,0.3756309425988966,1602005580508.0,happy_img_idx
63,Zi0q4lNj,10/06/20,happy,2,6,Extremely familiar,Very negative,2,-2,Hillary Clinton,L,100,True,0.5381500319368837,0.6612669718668074,1602005635307.0,happy_img_idx
64,Zi0q4lNj,10/06/20,happy,2,7,Extremely familiar,Very negative,2,-2,Hillary Clinton,L,100,True,0.7377039701925475,0.379543764917635,1602005661779.0,happy_img_idx
65,Zi0q4lNj,10/06/20,happy,2,8,Extremely familiar,Very negative,2,-2,Hillary Clinton,L,100,True,0.4931525752713909,0.379543764917635,1602005711979.0,happy_img_idx
66,Zi0q4lNj,10/06/20,happy,2,9,Extremely familiar,Very negative,2,-2,Hillary Clinton,L,100,True,0.5088038645463449,0.3404155417302501,1602005736779.0,happy_img_idx
67,Zi0q4lNj,10/06/20,happy,2,10,Extremely familiar,Very negative,2,-2,Hillary Clinton,L,100,True,0.5029346310682371,0.31302578549908056,1602005781379.0,happy_img_idx
68,Zi0q4lNj,10/06/20,happy,2,11,Extremely familiar,Very negative,2,-2,Hillary Clinton,L,100,True,0.5068474533869757,0.309112963180342,1602005792123.0,happy_img_idx
69,Zi0q4lNj,10/06/20,happy,3,0,Moderately familiar,Very negative,1,-2,Kim Jong-un,P,132,True,0.41685254005599,0.2856360292679109,1602006016674.0,happy_img_idx
70,Zi0q4lNj,10/06/20,happy,3,1,Moderately familiar,Very negative,1,-2,Kim Jong-un,P,132,True,0.5459756765743607,0.28954885158664934,1602006069562.0,happy_img_idx
71,Zi0q4lNj,10/06/20,happy,3,2,Moderately familiar,Very negative,1,-2,Kim Jong-un,P,132,True,0.6085808336741768,0.309112963180342,1602006093914.0,happy_img_idx
72,Zi0q4lNj,10/06/20,happy,3,3,Moderately familiar,Very negative,1,-2,Kim Jong-un,P,132,True,0.12534726238373872,0.30729351513131187,1602006232562.0,happy_img_idx
73,Zi0q4lNj,10/06/20,happy,3,4,Moderately familiar,Very negative,1,-2,Kim Jong-un,P,132,True,0.02557029325590683,0.1018703284713077,1602006266969.0,happy_img_idx
74,Zi0q4lNj,10/06/20,happy,3,5,Moderately familiar,Very negative,1,-2,Kim Jong-un,P,132,True,0.011875415140322062,0.03730876021212235,1602006284337.0,happy_img_idx
75,Zi0q4lNj,10/06/20,happy,3,6,Moderately familiar,Very negative,1,-2,Kim Jong-un,P,132,True,0.0725241610807689,0.14477442579332472,1602006416160.0,happy_img_idx
76,Zi0q4lNj,10/06/20,happy,3,7,Moderately familiar,Very negative,1,-2,Kim Jong-un,P,132,True,0.5127166868650834,0.49301561216105183,1602006431256.0,happy_img_idx
77,Zi0q4lNj,10/06/20,happy,3,8,Moderately familiar,Very negative,1,-2,Kim Jong-un,P,132,True,0.06274210528392264,0.20360370875850886,1602006443472.0,happy_img_idx
78,Zi0q4lNj,10/06/20,happy,3,9,Moderately familiar,Very negative,1,-2,Kim Jong-un,P,132,True,0.021657470937168324,0.07056774992139965,1602006491031.0,happy_img_idx
79,Zi0q4lNj,10/06/20,happy,3,10,Moderately familiar,Very negative,1,-2,Kim Jong-un,P,132,True,0.027526704415276083,0.11556520658689245,1602006539767.0,happy_img_idx
80,Zi0q4lNj,10/06/20,happy,3,11,Moderately familiar,Very negative,1,-2,Kim Jong-un,P,132,True,0.06665492760266115,0.2662088807845575,1602006565959.0,happy_img_idx
81,Zi0q4lNj,10/06/20,happy,3,12,Moderately familiar,Very negative,1,-2,Kim Jong-un,P,132,True,0.029483115574645335,0.07056774992139965,1602006585215.0,happy_img_idx
82,Zi0q4lNj,10/06/20,happy,3,13,Moderately familiar,Very negative,1,-2,Kim Jong-un,P,132,True,0.03339593789338384,0.1057831507900462,1602006606999.0,happy_img_idx
83,Zi0q4lNj,10/06/20,happy,4,0,Extremely familiar,Very negative,2,-2,Barack Obama,O,117,True,0.7768321933799326,0.22694369448683327,1602006762526.0,happy_img_idx
84,Zi0q4lNj,10/06/20,happy,4,1,Extremely familiar,Very negative,2,-2,Barack Obama,O,117,True,0.013831826299691314,0.041221582530860855,1602006770126.0,happy_img_idx
85,Zi0q4lNj,10/06/20,happy,4,2,Extremely familiar,Very negative,2,-2,Barack Obama,O,117,True,0.021657470937168324,0.051003638327707115,1602006781566.0,happy_img_idx
86,Zi0q4lNj,10/06/20,happy,4,3,Extremely familiar,Very negative,2,-2,Barack Obama,O,117,True,0.02361388209653758,0.07056774992139965,1602006795957.0,happy_img_idx
87,Zi0q4lNj,10/06/20,happy,4,4,Extremely familiar,Very negative,2,-2,Barack Obama,O,117,True,0.06078569412455338,0.142954962818062,1602006810525.0,happy_img_idx
88,Zi0q4lNj,10/06/20,happy,4,5,Extremely familiar,Very negative,2,-2,Barack Obama,O,117,True,0.14686778513680052,0.2975114593344656,1602006834181.0,happy_img_idx
89,Zi0q4lNj,10/06/20,happy,4,6,Extremely familiar,Very negative,2,-2,Barack Obama,O,117,True,0.10382673963067694,0.23686269846778618,1602006849286.0,happy_img_idx
90,Zi0q4lNj,10/06/20,happy,4,7,Extremely familiar,Very negative,2,-2,Barack Obama,O,117,True,0.09404468383383068,0.21142935339598584,1602006888837.0,happy_img_idx
91,Zi0q4lNj,10/06/20,happy,4,8,Extremely familiar,Very negative,2,-2,Barack Obama,O,117,True,0.007962592821583556,0.02557029325590683,1602006904493.0,happy_img_idx
92,Zi0q4lNj,10/06/20,happy,5,0,Not at all familiar,Neutral,-2,0,Emanuel Macron,M,54,True,0.04513440484959936,0.1057831507900462,1602007047844.0,happy_img_idx
93,Zi0q4lNj,10/06/20,happy,5,1,Not at all familiar,Neutral,-2,0,Emanuel Macron,M,54,True,0.03143952673401459,0.0725241610807689,1602007064284.0,happy_img_idx
94,Zi0q4lNj,10/06/20,happy,5,2,Not at all familiar,Neutral,-2,0,Emanuel Macron,M,54,True,0.015788237459060567,0.05687287180581488,1602007073292.0,happy_img_idx
95,Zi0q4lNj,10/06/20,happy,5,3,Not at all familiar,Neutral,-2,0,Emanuel Macron,M,54,True,0.029483115574645335,0.05086669014360058,1602007092636.0,happy_img_idx
96,Zi0q4lNj,10/06/20,happy,5,4,Not at all familiar,Neutral,-2,0,Emanuel Macron,M,54,True,0.041221582530860855,0.09208827267446143,1602007118011.0,happy_img_idx
97,Zi0q4lNj,10/06/20,happy,6,0,Extremely familiar,Very Positive,2,2,Donald Trump,I,129,True,0.9724733093168578,0.05477951246233914,1602007188711.0,happy_img_idx
98,Zi0q4lNj,10/06/20,happy,6,1,Extremely familiar,Very Positive,2,2,Donald Trump,I,129,True,0.5303243872994067,0.24650780608052592,1602007199459.0,happy_img_idx
99,Zi0q4lNj,10/06/20,happy,6,2,Extremely familiar,Very Positive,2,2,Donald Trump,I,129,True,0.07839339455887666,0.10955902492467814,1602007214291.0,happy_img_idx
100,Zi0q4lNj,10/06/20,happy,6,3,Extremely familiar,Very Positive,2,2,Donald Trump,I,129,True,0.532280798458776,0.3052001408616034,1602007233787.0,happy_img_idx
101,Zi0q4lNj,10/06/20,happy,6,4,Extremely familiar,Very Positive,2,2,Donald Trump,I,129,True,0.04317799369023011,0.10773956194941545,1602007243091.0,happy_img_idx
102,Zi0q4lNj,10/06/20,happy,6,5,Extremely familiar,Very Positive,2,2,Donald Trump,I,129,True,0.9979066543886581,0.9842117762730733,1602007258106.0,happy_img_idx
103,Zi0q4lNj,10/06/20,happy,6,6,Extremely familiar,Very Positive,2,2,Donald Trump,I,129,True,0.6496654680209311,0.1526000704308017,1602007271395.0,happy_img_idx
104,Zi0q4lNj,10/06/20,happy,6,7,Extremely familiar,Very Positive,2,2,Donald Trump,I,129,True,0.4911961641120216,0.1760770043432327,1602007280179.0,happy_img_idx
105,Zi0q4lNj,10/06/20,happy,7,0,Somewhat familiar,Neutral,0,0,Angela Merkel,N,126,True,0.11752161774626171,0.2505575915096035,1602007442452.0,happy_img_idx
106,Zi0q4lNj,10/06/20,happy,7,1,Somewhat familiar,Neutral,0,0,Angela Merkel,N,126,True,0.05687287180581488,0.0704308017372931,1602007454182.0,happy_img_idx
107,Zi0q4lNj,10/06/20,happy,7,2,Somewhat familiar,Neutral,0,0,Angela Merkel,N,126,True,0.7161834474394857,0.12521031419963213,1602007489785.0,happy_img_idx
108,Zi0q4lNj,10/06/20,happy,7,3,Somewhat familiar,Neutral,0,0,Angela Merkel,N,126,True,0.8746527513483952,0.11347184724341663,1602007504721.0,happy_img_idx
109,Zi0q4lNj,10/06/20,happy,7,4,Somewhat familiar,Neutral,0,0,Angela Merkel,N,126,True,0.2427319319458939,0.532280798458776,1602007527481.0,happy_img_idx
110,Zi0q4lNj,10/06/20,happy,7,5,Somewhat familiar,Neutral,0,0,Angela Merkel,N,126,True,0.09600109499319993,0.11347184724341666,1602007551176.0,happy_img_idx
111,Zi0q4lNj,10/06/20,happy,7,6,Somewhat familiar,Neutral,0,0,Angela Merkel,N,126,True,0.08034980571824592,0.1644754855711238,1602007567465.0,happy_img_idx
112,Zi0q4lNj,10/06/20,happy,7,7,Somewhat familiar,Neutral,0,0,Angela Merkel,N,126,True,0.06665492760266115,0.14491137397743126,1602007579320.0,happy_img_idx
113,Zi0q4lNj,10/06/20,happy,7,8,Somewhat familiar,Neutral,0,0,Angela Merkel,N,126,True,0.06274210528392264,0.11347184724341666,1602007615680.0,happy_img_idx
114,Zi0q4lNj,10/06/20,happy,7,9,Somewhat familiar,Neutral,0,0,Angela Merkel,N,126,True,0.05882928296518413,0.11738466956215517,1602007633272.0,happy_img_idx
115,Zi0q4lNj,10/06/20,happy,7,10,Somewhat familiar,Neutral,0,0,Angela Merkel,N,126,True,0.02361388209653758,0.09404468383383069,1602007644271.0,happy_img_idx
116,Zi0q4lNj,10/06/20,happy,7,11,Somewhat familiar,Neutral,0,0,Angela Merkel,N,126,True,0.054916460646445626,0.16056266325238527,1602007657611.0,happy_img_idx
117,vIdiw5Yw,10/06/20,happy,0,0,Somewhat familiar,Very negative,0,-2,Kim Jong-un,P,132,True,0.27104960203948647,0.5364735755500527,1602004954864.0,happy_img_idx
118,vIdiw5Yw,10/06/20,happy,0,1,Somewhat familiar,Very negative,0,-2,Kim Jong-un,P,132,True,0.15550143374312797,0.48357569729886013,1602005000767.0,happy_img_idx
119,vIdiw5Yw,10/06/20,happy,0,2,Somewhat familiar,Very negative,0,-2,Kim Jong-un,P,132,True,0.37009088915065086,0.330137560735127,1602005012022.0,happy_img_idx
120,vIdiw5Yw,10/06/20,happy,0,3,Somewhat familiar,Very negative,0,-2,Kim Jong-un,P,132,True,0.019319661997503297,0.07709374811345612,1602005021950.0,happy_img_idx
121,vIdiw5Yw,10/06/20,happy,0,4,Somewhat familiar,Very negative,0,-2,Kim Jong-un,P,132,True,0.02963646273824959,0.13074111196533686,1602005045030.0,happy_img_idx
122,vIdiw5Yw,10/06/20,happy,1,0,Extremely familiar,Slightly negative,2,-1,Donald Trump,I,129,True,0.8260934504072598,0.20633601481492603,1602005144058.0,happy_img_idx
123,vIdiw5Yw,10/06/20,happy,1,1,Extremely familiar,Slightly negative,2,-1,Donald Trump,I,129,True,0.6465811175182743,0.11967488859265707,1602005153594.0,happy_img_idx
124,vIdiw5Yw,10/06/20,happy,1,2,Extremely familiar,Slightly negative,2,-1,Donald Trump,I,129,True,0.7910163278887224,0.07015424503707468,1602005166609.0,happy_img_idx
125,vIdiw5Yw,10/06/20,happy,1,3,Extremely familiar,Slightly negative,2,-1,Donald Trump,I,129,True,0.4299283334469794,0.19395585392603032,1602005176705.0,happy_img_idx
126,vIdiw5Yw,10/06/20,happy,1,4,Extremely familiar,Slightly negative,2,-1,Donald Trump,I,129,True,0.45262529507662125,0.2847436374758431,1602005188040.0,happy_img_idx
127,vIdiw5Yw,10/06/20,happy,1,5,Extremely familiar,Slightly negative,2,-1,Donald Trump,I,129,True,0.9416416187036183,0.09491456681486587,1602005198072.0,happy_img_idx
128,vIdiw5Yw,10/06/20,happy,2,0,Not at all familiar,Neutral,-2,0,Emanuel Macron,M,54,True,0.7043552016664536,0.23934977718531392,1602005376266.0,happy_img_idx
129,vIdiw5Yw,10/06/20,happy,2,1,Not at all familiar,Neutral,-2,0,Emanuel Macron,M,54,True,0.7745094467035284,0.17744897274083615,1602005387634.0,happy_img_idx
130,vIdiw5Yw,10/06/20,happy,2,2,Not at all familiar,Neutral,-2,0,Emanuel Macron,M,54,True,0.675468159592364,0.4209254072536943,1602005398081.0,happy_img_idx
131,vIdiw5Yw,10/06/20,happy,2,3,Not at all familiar,Neutral,-2,0,Emanuel Macron,M,54,True,0.23184575922465053,0.8075232090739165,1602005414008.0,happy_img_idx
132,vIdiw5Yw,10/06/20,happy,2,4,Not at all familiar,Neutral,-2,0,Emanuel Macron,M,54,True,0.7126086422590506,0.16506881185194078,1602005427480.0,happy_img_idx
133,vIdiw5Yw,10/06/20,happy,2,5,Not at all familiar,Neutral,-2,0,Emanuel Macron,M,54,True,0.4299283334469794,0.19395585392603032,1602005439127.0,happy_img_idx
134,vIdiw5Yw,10/06/20,happy,2,6,Not at all familiar,Neutral,-2,0,Emanuel Macron,M,54,True,0.26485952159503867,0.3672781063705681,1602005447800.0,happy_img_idx
135,vIdiw5Yw,10/06/20,happy,3,0,Extremely familiar,Very negative,2,-2,Vladimir Putin,J,111,True,0.4546886552247705,0.3218841201425299,1602005572163.0,happy_img_idx
136,vIdiw5Yw,10/06/20,happy,3,1,Extremely familiar,Very negative,2,-2,Vladimir Putin,J,111,True,0.5949971138145428,0.21046267214246983,1602005596754.0,happy_img_idx
137,vIdiw5Yw,10/06/20,happy,3,2,Extremely familiar,Very negative,2,-2,Vladimir Putin,J,111,True,0.29993664411357607,0.2888704207408963,1602005605169.0,happy_img_idx
138,vIdiw5Yw,10/06/20,happy,3,3,Extremely familiar,Very negative,2,-2,Vladimir Putin,J,111,True,0.23184575922465053,0.1898291336297318,1602005617185.0,happy_img_idx
139,vIdiw5Yw,10/06/20,happy,3,4,Extremely familiar,Very negative,2,-2,Vladimir Putin,J,111,True,0.8384736112961554,0.231096336592717,1602005626705.0,happy_img_idx
140,vIdiw5Yw,10/06/20,happy,3,5,Extremely familiar,Very negative,2,-2,Vladimir Putin,J,111,True,0.36183744855805383,0.13205504948155256,1602005637865.0,happy_img_idx
141,vIdiw5Yw,10/06/20,happy,3,6,Extremely familiar,Very negative,2,-2,Vladimir Putin,J,111,True,0.24009919981724756,0.21871617570382146,1602005646528.0,happy_img_idx
142,vIdiw5Yw,10/06/20,happy,4,0,Extremely familiar,Very Positive,2,2,Barack Obama,O,117,True,0.914817936777678,0.15681537125934364,1602005744164.0,happy_img_idx
143,vIdiw5Yw,10/06/20,happy,4,1,Extremely familiar,Very Positive,2,2,Barack Obama,O,117,True,0.054396786483814276,0.11423423078014278,1602005751148.0,happy_img_idx
144,vIdiw5Yw,10/06/20,happy,4,2,Extremely familiar,Very Positive,2,2,Barack Obama,O,117,True,0.747685764777588,0.16919553214823924,1602005760948.0,happy_img_idx
145,vIdiw5Yw,10/06/20,happy,4,3,Extremely familiar,Very Positive,2,2,Barack Obama,O,117,True,0.6300742363330802,0.10729472770376147,1602005770675.0,happy_img_idx
146,vIdiw5Yw,10/06/20,happy,4,4,Extremely familiar,Very Positive,2,2,Barack Obama,O,117,True,0.8818041744072899,0.13205504948155267,1602005779235.0,happy_img_idx
147,vIdiw5Yw,10/06/20,happy,4,5,Extremely familiar,Very Positive,2,2,Barack Obama,O,117,True,0.5392863898145128,0.5034598131796646,1602005791187.0,happy_img_idx
148,vIdiw5Yw,10/06/20,happy,4,6,Extremely familiar,Very Positive,2,2,Barack Obama,O,117,True,0.29787328396542684,0.18570241333343337,1602005801442.0,happy_img_idx
149,vIdiw5Yw,10/06/20,happy,5,0,Moderately familiar,Slightly negative,1,-1,Hillary Clinton,L,100,True,0.850853772185051,0.20220929451862735,1602005935582.0,happy_img_idx
150,vIdiw5Yw,10/06/20,happy,5,1,Moderately familiar,Slightly negative,1,-1,Hillary Clinton,L,100,True,0.8446636917406032,0.2682368192594038,1602005944150.0,happy_img_idx
151,vIdiw5Yw,10/06/20,happy,5,2,Moderately familiar,Slightly negative,1,-1,Hillary Clinton,L,100,True,0.7187987227034983,0.14443521037044804,1602005952997.0,happy_img_idx
152,vIdiw5Yw,10/06/20,happy,5,3,Moderately familiar,Slightly negative,1,-1,Hillary Clinton,L,100,True,0.7270521632960955,0.25172993807420974,1602005960565.0,happy_img_idx
